search_term,begin_date,end_date,score
hipica mujer,2011-01-01,2022-08-07,100
atletismo femenino,2011-01-01,2022-08-07,100
baloncesto femenino,2011-01-01,2022-08-07,100
balonmano femenino,2011-01-01,2022-08-07,100
ciclismo femenino,2011-01-01,2022-08-07,100
escalada mujer,2011-01-01,2022-08-07,100
futbol femenino,2011-01-01,2022-08-07,100
golf femenino,2011-01-01,2022-08-07,100
hipica mujer,2011-01-01,2022-08-07,100
judo femenino,2011-01-01,2022-08-07,100
natacion femenina,2011-01-01,2022-08-07,100
padel femenino,2011-01-01,2022-08-07,100
tenis femenino,2011-01-01,2022-08-07,100
voleibol femenino,2011-01-01,2022-08-07,100
medallista,2011-01-01,2022-08-07,100
mundialista,2011-01-01,2022-08-07,100
olimpica,2011-01-01,2022-08-07,100
